Time	Node	Type	Packets	
15	3	CacheMisses	201
15	4	CacheHits	145
15	4	CacheMisses	145
15	5	CacheHits	71
15	5	CacheMisses	253
15	6	CacheHits	0
15	6	CacheMisses	100
15	7	CacheHits	40
15	7	CacheMisses	92
15	8	CacheHits	43
15	8	CacheMisses	444
15.5	0	CacheHits	66
15.5	0	CacheMisses	61
15.5	1	CacheHits	251
15.5	1	CacheMisses	249
15.5	2	CacheHits	3
15.5	2	CacheMisses	353
15.5	3	CacheHits	24
15.5	3	CacheMisses	161
15.5	4	CacheHits	34
15.5	4	CacheMisses	246
15.5	5	CacheHits	67
15.5	5	CacheMisses	245
15.5	6	CacheHits	1
15.5	6	CacheMisses	132
15.5	7	CacheHits	31
15.5	7	CacheMisses	266
15.5	8	CacheHits	82
15.5	8	CacheMisses	507
16	0	CacheHits	33
16	0	CacheMisses	28
16	1	CacheHits	140
16	1	CacheMisses	99
16	2	CacheHits	2
16	2	CacheMisses	145
16	3	CacheHits	171
16	3	CacheMisses	232
16	4	CacheHits	116
16	4	CacheMisses	95
16	5	CacheHits	31
16	5	CacheMisses	180
16	6	CacheHits	0
16	6	CacheMisses	60
16	7	CacheHits	42
16	7	CacheMisses	123
16	8	CacheHits	55
16	8	CacheMisses	388
16.5	0	CacheHits	32
16.5	0	CacheMisses	49
16.5	1	CacheHits	171
16.5	1	CacheMisses	193
16.5	2	CacheHits	12
16.5	2	CacheMisses	202
16.5	3	CacheHits	77
16.5	3	CacheMisses	167
16.5	4	CacheHits	64
16.5	4	CacheMisses	81
16.5	5	CacheHits	38
16.5	5	CacheMisses	198
16.5	6	CacheHits	3
16.5	6	CacheMisses	77
16.5	7	CacheHits	55
16.5	7	CacheMisses	68
16.5	8	CacheHits	56
16.5	8	CacheMisses	293
17	0	CacheHits	48
17	0	CacheMisses	51
17	1	CacheHits	228
17	1	CacheMisses	222
17	2	CacheHits	4
17	2	CacheMisses	272
17	3	CacheHits	46
17	3	CacheMisses	144
17	4	CacheHits	83
17	4	CacheMisses	124
17	5	CacheHits	57
17	5	CacheMisses	186
17	6	CacheHits	1
17	6	CacheMisses	57
17	7	CacheHits	17
17	7	CacheMisses	96
17	8	CacheHits	65
17	8	CacheMisses	297
17.5	0	CacheHits	43
17.5	0	CacheMisses	47
17.5	1	CacheHits	150
17.5	1	CacheMisses	84
17.5	2	CacheHits	5
17.5	2	CacheMisses	111
17.5	3	CacheHits	124
17.5	3	CacheMisses	106
17.5	4	CacheHits	63
17.5	4	CacheMisses	96
17.5	5	CacheHits	13
17.5	5	CacheMisses	107
17.5	6	CacheHits	1
17.5	6	CacheMisses	69
17.5	7	CacheHits	19
17.5	7	CacheMisses	116
17.5	8	CacheHits	91
17.5	8	CacheMisses	255
18	0	CacheHits	43
18	0	CacheMisses	41
18	1	CacheHits	236
18	1	CacheMisses	167
18	2	CacheHits	1
18	2	CacheMisses	205
18	3	CacheHits	81
18	3	CacheMisses	131
18	4	CacheHits	55
18	4	CacheMisses	105
18	5	CacheHits	22
18	5	CacheMisses	180
18	6	CacheHits	2
18	6	CacheMisses	71
18	7	CacheHits	22
18	7	CacheMisses	139
18	8	CacheHits	68
18	8	CacheMisses	345
18.5	0	CacheHits	46
18.5	0	CacheMisses	45
18.5	1	CacheHits	180
18.5	1	CacheMisses	56
18.5	2	CacheHits	2
18.5	2	CacheMisses	87
18.5	3	CacheHits	141
18.5	3	CacheMisses	181
18.5	4	CacheHits	67
18.5	4	CacheMisses	121
18.5	5	CacheHits	19
18.5	5	CacheMisses	147
18.5	6	CacheHits	2
18.5	6	CacheMisses	135
18.5	7	CacheHits	42
18.5	7	CacheMisses	96
18.5	8	CacheHits	73
18.5	8	CacheMisses	361
19	0	CacheHits	38
19	0	CacheMisses	34
19	1	CacheHits	198
19	1	CacheMisses	240
19	2	CacheHits	4
19	2	CacheMisses	272
19	3	CacheHits	81
19	3	CacheMisses	85
19	4	CacheHits	42
19	4	CacheMisses	70
19	5	CacheHits	47
19	5	CacheMisses	212
19	6	CacheHits	6
19	6	CacheMisses	102
19	7	CacheHits	20
19	7	CacheMisses	130
19	8	CacheHits	107
19	8	CacheMisses	372
19.5	0	CacheHits	27
19.5	0	CacheMisses	55
19.5	1	CacheHits	224
19.5	1	CacheMisses	123
19.5	2	CacheHits	3
19.5	2	CacheMisses	456
19.5	3	CacheHits	152
19.5	3	CacheMisses	193
19.5	4	CacheHits	104
19.5	4	CacheMisses	125
19.5	5	CacheHits	35
19.5	5	CacheMisses	308
19.5	6	CacheHits	2
19.5	6	CacheMisses	102
19.5	7	CacheHits	21
19.5	7	CacheMisses	182
19.5	8	CacheHits	82
19.5	8	CacheMisses	546
20	0	CacheHits	29
20	0	CacheMisses	55
20	1	CacheHits	154
20	1	CacheMisses	207
20	2	CacheHits	3
20	2	CacheMisses	252
20	3	CacheHits	143
20	3	CacheMisses	182
20	4	CacheHits	74
20	4	CacheMisses	172
20	5	CacheHits	61
20	5	CacheMisses	223
20	6	CacheHits	1
20	6	CacheMisses	155
20	7	CacheHits	33
20	7	CacheMisses	164
20	8	CacheHits	62
20	8	CacheMisses	491
20.5	0	CacheHits	22
20.5	0	CacheMisses	24
20.5	1	CacheHits	292
20.5	1	CacheMisses	142
20.5	2	CacheHits	0
20.5	2	CacheMisses	257
20.5	3	CacheHits	83
20.5	3	CacheMisses	106
20.5	4	CacheHits	49
20.5	4	CacheMisses	175
20.5	5	CacheHits	36
20.5	5	CacheMisses	337
20.5	6	CacheHits	1
20.5	6	CacheMisses	80
20.5	7	CacheHits	32
20.5	7	CacheMisses	170
20.5	8	CacheHits	71
20.5	8	CacheMisses	558
21	0	CacheHits	17
21	0	CacheMisses	30
21	1	CacheHits	182
21	1	CacheMisses	187
21	2	CacheHits	1
21	2	CacheMisses	208
21	3	CacheHits	185
21	3	CacheMisses	349
21	4	CacheHits	100
21	4	CacheMisses	143
21	5	CacheHits	38
21	5	CacheMisses	197
21	6	CacheHits	5
21	6	CacheMisses	114
21	7	CacheHits	48
21	7	CacheMisses	82
21	8	CacheHits	100
21	8	CacheMisses	313
21.5	0	CacheHits	40
21.5	0	CacheMisses	43
21.5	1	CacheHits	277
21.5	1	CacheMisses	115
21.5	2	CacheHits	5
21.5	2	CacheMisses	184
21.5	3	CacheHits	124
21.5	3	CacheMisses	135
21.5	4	CacheHits	61
21.5	4	CacheMisses	75
21.5	5	CacheHits	22
21.5	5	CacheMisses	146
21.5	6	CacheHits	5
21.5	6	CacheMisses	191
21.5	7	CacheHits	69
21.5	7	CacheMisses	152
21.5	8	CacheHits	77
21.5	8	CacheMisses	322
22	0	CacheHits	26
22	0	CacheMisses	24
22	1	CacheHits	275
22	1	CacheMisses	91
22	2	CacheHits	5
22	2	CacheMisses	122
22	3	CacheHits	193
22	3	CacheMisses	113
22	4	CacheHits	60
22	4	CacheMisses	87
22	5	CacheHits	23
22	5	CacheMisses	112
22	6	CacheHits	2
22	6	CacheMisses	37
22	7	CacheHits	39
22	7	CacheMisses	68
22	8	CacheHits	76
22	8	CacheMisses	232
22.5	0	CacheHits	18
22.5	0	CacheMisses	35
22.5	1	CacheHits	288
22.5	1	CacheMisses	161
22.5	2	CacheHits	6
22.5	2	CacheMisses	189
22.5	3	CacheHits	159
22.5	3	CacheMisses	101
22.5	4	CacheHits	75
22.5	4	CacheMisses	72
22.5	5	CacheHits	34
22.5	5	CacheMisses	185
22.5	6	CacheHits	0
22.5	6	CacheMisses	120
22.5	7	CacheHits	40
22.5	7	CacheMisses	159
22.5	8	CacheHits	75
22.5	8	CacheMisses	405
23	0	CacheHits	29
23	0	CacheMisses	42
23	1	CacheHits	274
23	1	CacheMisses	92
23	2	CacheHits	1
23	2	CacheMisses	144
23	3	CacheHits	167
23	3	CacheMisses	124
23	4	CacheHits	78
23	4	CacheMisses	76
23	5	CacheHits	29
23	5	CacheMisses	141
23	6	CacheHits	2
23	6	CacheMisses	41
23	7	CacheHits	33
23	7	CacheMisses	72
23	8	CacheHits	78
23	8	CacheMisses	283
23.5	0	CacheHits	20
23.5	0	CacheMisses	24
23.5	1	CacheHits	224
23.5	1	CacheMisses	172
23.5	2	CacheHits	0
23.5	2	CacheMisses	193
23.5	3	CacheHits	242
23.5	3	CacheMisses	134
23.5	4	CacheHits	78
23.5	4	CacheMisses	83
23.5	5	CacheHits	22
23.5	5	CacheMisses	225
23.5	6	CacheHits	4
23.5	6	CacheMisses	103
23.5	7	CacheHits	39
