Time	Node	Type	Packets	
9.5	1	CacheHits	257
9.5	1	CacheMisses	320
9.5	2	CacheHits	0
9.5	2	CacheMisses	304
9.5	3	CacheHits	241
9.5	3	CacheMisses	104
9.5	4	CacheHits	204
9.5	4	CacheMisses	72
9.5	5	CacheHits	58
9.5	5	CacheMisses	310
9.5	6	CacheHits	0
9.5	6	CacheMisses	67
9.5	7	CacheHits	21
9.5	7	CacheMisses	65
9.5	8	CacheHits	108
9.5	8	CacheMisses	609
10	0	CacheHits	14
10	0	CacheMisses	15
10	1	CacheHits	225
10	1	CacheMisses	154
10	2	CacheHits	1
10	2	CacheMisses	188
10	3	CacheHits	198
10	3	CacheMisses	101
10	4	CacheHits	119
10	4	CacheMisses	96
10	5	CacheHits	51
10	5	CacheMisses	189
10	6	CacheHits	1
10	6	CacheMisses	82
10	7	CacheHits	19
10	7	CacheMisses	63
10	8	CacheHits	86
10	8	CacheMisses	550
10.5	0	CacheHits	9
10.5	0	CacheMisses	15
10.5	1	CacheHits	294
10.5	1	CacheMisses	57
10.5	2	CacheHits	0
10.5	2	CacheMisses	91
10.5	3	CacheHits	291
10.5	3	CacheMisses	55
10.5	4	CacheHits	183
10.5	4	CacheMisses	64
10.5	5	CacheHits	59
10.5	5	CacheMisses	80
10.5	6	CacheHits	0
10.5	6	CacheMisses	37
10.5	7	CacheHits	31
10.5	7	CacheMisses	53
10.5	8	CacheHits	147
10.5	8	CacheMisses	361
11	0	CacheHits	18
11	0	CacheMisses	24
11	1	CacheHits	345
11	1	CacheMisses	143
11	2	CacheHits	0
11	2	CacheMisses	131
11	3	CacheHits	359
11	3	CacheMisses	78
11	4	CacheHits	143
11	4	CacheMisses	60
11	5	CacheHits	63
11	5	CacheMisses	122
11	6	CacheHits	1
11	6	CacheMisses	36
11	7	CacheHits	38
11	7	CacheMisses	48
11	8	CacheHits	140
11	8	CacheMisses	346
11.5	0	CacheHits	24
11.5	0	CacheMisses	14
11.5	1	CacheHits	297
11.5	1	CacheMisses	131
11.5	2	CacheHits	4
11.5	2	CacheMisses	156
11.5	3	CacheHits	233
11.5	3	CacheMisses	316
11.5	4	CacheHits	165
11.5	4	CacheMisses	234
11.5	5	CacheHits	64
11.5	5	CacheMisses	113
11.5	6	CacheHits	11
11.5	6	CacheMisses	20
11.5	7	CacheHits	24
11.5	7	CacheMisses	68
11.5	8	CacheHits	120
11.5	8	CacheMisses	408
12	0	CacheHits	13
12	0	CacheMisses	22
12	1	CacheHits	293
12	1	CacheMisses	127
12	2	CacheHits	0
12	2	CacheMisses	126
12	3	CacheHits	300
12	3	CacheMisses	281
12	4	CacheHits	147
12	4	CacheMisses	231
12	5	CacheHits	103
12	5	CacheMisses	107
12	6	CacheHits	8
12	6	CacheMisses	127
12	7	CacheHits	108
12	7	CacheMisses	83
12	8	CacheHits	117
12	8	CacheMisses	355
12.5	0	CacheHits	29
12.5	0	CacheMisses	35
12.5	1	CacheHits	341
12.5	1	CacheMisses	140
12.5	2	CacheHits	0
12.5	2	CacheMisses	131
12.5	3	CacheHits	410
12.5	3	CacheMisses	232
12.5	4	CacheHits	183
12.5	4	CacheMisses	168
12.5	5	CacheHits	76
12.5	5	CacheMisses	123
12.5	6	CacheHits	0
12.5	6	CacheMisses	128
12.5	7	CacheHits	83
12.5	7	CacheMisses	64
12.5	8	CacheHits	103
12.5	8	CacheMisses	349
13	0	CacheHits	27
13	0	CacheMisses	14
13	1	CacheHits	296
13	1	CacheMisses	115
13	2	CacheHits	0
13	2	CacheMisses	127
13	3	CacheHits	377
